# STOCKTAKE AUDIT REPORT - Gateway vs MAP
# Generated: 2026-03-17T01:51:28.234Z
# MAP SKUs: 503 | Cin7 Gateway SKUs: 411
# Overlap: 405 | Match Rate: 82.2%
# Exact Match: 333 | Mismatch: 72
# MAP Only: 98 | System Only: 6
# MAP Total Qty: 115588 | Cin7 Total Qty: 112691
#
SKU	STATUS	SHELVES	MAP_QTY	CIN7_QTY	DIFF	NOTES
R3560-TRI	MATCH	C44(89), C60(90), D46(90)	269	269	0	OK
R3570	MATCH	G1(10)	10	10	0	OK
R3570-EM	MATCH	G1(7)	7	7	0	OK
R3570-EM-S-TRI	MATCH	C74(48), D79(48)	96	96	0	OK
R3570-EM-TRI	MATCH	C95(48), D55(48)	96	96	0	OK
R3580	MATCH	A23(144), A42(144), A59(144), A80(144), B82(144), B87(144), D41(144), D80(71)	1079	1079	0	OK
R3590	MATCH	c24(240)	240	240	0	OK
R3900-BK-40W-WW-30-DALI	MATCH	C38(14)	14	14	0	OK
R4101-BK-WW	MATCH	F13(40)	40	40	0	OK
R4101-WH-CW	MATCH	G-Floor(4)	4	4	0	OK
R4101-WH-WW	MATCH	G-Floor(40)	40	40	0	OK
R4103-WH-WW	MATCH	Misc(8)	8	8	0	OK
R6001-CW	MATCH	D69(1)	1	1	0	OK
R6002-WH-TRI	MATCH	B63(99)	99	99	0	OK
R6007-BK-WW	MATCH	G-Floor(499)	499	499	0	OK
R6011-CW	MATCH	A12(4), D63(36)	40	40	0	OK
R6012-CW	MATCH	A12(8)	8	8	0	OK
R6012-WW	MATCH	A12(1)	1	1	0	OK
R6015-BK-RGB	MATCH	C88(160)	160	160	0	OK
R6016-WW	MATCH	B23(100), D36(200)	300	300	0	OK
R6017-WW	MATCH	B23(199), D36(100)	299	299	0	OK
R6018-CW	MATCH	A41(80)	80	80	0	OK
R6018-WW	MATCH	B23(99), D36(200)	299	299	0	OK
R6051-BK-TRI	MATCH	B98(150)	150	150	0	OK
R6052-BK-TRI	MATCH	D7(130)	130	130	0	OK
R6052-WH-TRI	MATCH	B97(230)	230	230	0	OK
R6053-WH-TRI	MATCH	D42(440)	440	440	0	OK
R6054-SS-TRI	MATCH	A37(79)	79	79	0	OK
R6054-TT-TRI	MATCH	C45(130)	130	130	0	OK
R6056-BK-WW	MATCH	B1(95), B41(95)	190	190	0	OK
R6070-WH-CW	MATCH	C6(48)	48	48	0	OK
R6073-BK-TRI	MATCH	A17(72)	72	72	0	OK
R6090-12V-BK-CW	MATCH	D21(72)	72	72	0	OK
R6090-12V-WH-CW	MATCH	D21(107)	107	107	0	OK
R6090-BK-CW-V2	MATCH	A17(71)	71	71	0	OK
R6092-12V-BK-WW	MATCH	B72(71)	71	71	0	OK
R6092-12V-WH-CW	MATCH	A106(71)	71	71	0	OK
R6092-12V-WH-WW	MATCH	A106(36)	36	36	0	OK
R6093-BK-WW	MATCH	C48(95)	95	95	0	OK
R6094-WH-WW	MATCH	B72(35)	35	35	0	OK
R6101-CW	MATCH	A12(1), D69(5)	6	6	0	OK
R6101-WW	MATCH	A12(14), D69(3)	17	17	0	OK
R6102-WW	MATCH	A12(6)	6	6	0	OK
R6104-BK-WW	MATCH	C71(250)	250	250	0	OK
R6123-BK-WW	MATCH	C71(100)	100	100	0	OK
R6123-SS-WW	MATCH	C71(50)	50	50	0	OK
R6130	MATCH	A109(190)	190	190	0	OK
R6130-S	MATCH	B94(40)	40	40	0	OK
R6150	MATCH	B94(54)	54	54	0	OK
R6150-S	MATCH	A109(36)	36	36	0	OK
R6201-COVER-WH	MATCH	A61(80)	80	80	0	OK
R6230-S-BK-TRI	MATCH	D50(5)	5	5	0	OK
R6232-BK-TRI	MATCH	A108(99), B19(120), B31(39), C32(90), D3(90), D38(90), D39(90)	618	618	0	OK
R6232-WH-TRI	MATCH	A49(90), B31(29), C42(90), C91(29), D30(90), D31(90)	418	418	0	OK
R6233-WH-TRIM	MATCH	C91(99)	99	99	0	OK
R6234-BK-TRIM	MATCH	C70(99)	99	99	0	OK
R6234-WH-TRIM	MATCH	D1(99)	99	99	0	OK
R6235-BK-TRIM	MATCH	C70(99)	99	99	0	OK
R6236-BK	MATCH	D49(2)	2	2	0	OK
R6240-BK-TRI	MATCH	A55(100)	100	100	0	OK
R6240-EM-WH-TRI	MATCH	D48(99)	99	99	0	OK
R6240-WH-TRI	MATCH	D32(100)	100	100	0	OK
R6241-EYELID-BK	MATCH	D7(99)	99	99	0	OK
R6241-EYELID-WH	MATCH	B61(80)	80	80	0	OK
R6330-CW	MATCH	A81(40)	40	40	0	OK
R6330-WW	MATCH	A88(27)	27	27	0	OK
R6331-WW	MATCH	A89(49)	49	49	0	OK
R6332-900	MATCH	A34(25), B13(25), B69(30), D62(30)	110	110	0	OK
R6334-25W-CW	MATCH	G-FLOOR(19)	19	19	0	OK
R6335-1000	MATCH	A75(35), B54(29), B77(35), D43(36), G-FLOOR(13)	148	148	0	OK
R6335-500	MATCH	C67(60), C68(60), C85(60), C100(60), D71(60), E10(60), E14(50), E16(60)	470	470	0	OK
R6336-TRI	MATCH	A62(60), B35(48), B50(19)	127	127	0	OK
R6370	MATCH	F11(96), F19(96), F19(96)	288	288	0	OK
R6370-1	MATCH	B50(299)	299	299	0	OK
R6370-2	MATCH	B50(60)	60	60	0	OK
R6370-3	MATCH	B50(60)	60	60	0	OK
R6390-BK-TRI	MATCH	D52(95)	95	95	0	OK
R6392	MATCH	D47(60)	60	60	0	OK
R6395-TRI	MATCH	B53(80), B78(80), D47(32)	192	192	0	OK
R6396-TRI	MATCH	B68(64), B73(64)	128	128	0	OK
R6397-TRI	MATCH	A39(48), B58(64)	112	112	0	OK
R8001-3M	MATCH	F11(80)	80	80	0	OK
R8001-5M	MATCH	A96(200), D27(200), D34(99), F11(99)	598	598	0	OK
R8001-KIT	MATCH	A56(100)	100	100	0	OK
R8003-EW	MATCH	A56(100)	100	100	0	OK
R999-BOX-WH	MATCH	D11(28), D15(64)	92	92	0	OK
R9990-S-BK	MATCH	C6(80)	80	80	0	OK
R9990-S-WH	MATCH	C6(80)	80	80	0	OK
R9998-V1	MATCH	D50(1)	1	1	0	OK
RAPLC1512R-01C-33W-BK/BK-CW	MATCH	D65(2)	2	2	0	OK
RLP1002R-01-C-WH/SIL-WW	MATCH	D61(18)	18	18	0	OK
SIN-TELSOLITA-WB20-AB	MATCH	D77(5)	5	5	0	OK
STARFR48	MATCH	D53(2)	2	2	0	OK
TRIM-R1021-BK	MATCH	B62(240), B81(479)	719	719	0	OK
TRIM-R1021-SC	MATCH	B62(240)	240	240	0	OK
TRIM-R1031-BK	MATCH	B62(240)	240	240	0	OK
VEN-SKYWCM-2	MATCH	D53(2)	2	2	0	OK
R1092-18-WH-SIL-TRI	MISMATCH	A6(108), A58(143), B56(143)	394	611	217	MAP has +217
R2598-WH	MISMATCH	A12(124)	124	24	-100	SYSTEM has +100
R3540-EM-S-TRI	MISMATCH	A20(95), A44(96), B60(96), C13(96), C89(96), D59(96), D67(96)	671	575	-96	SYSTEM has +96
R1084-WH-CW-60	MISMATCH	B37(324), B43(972)	1296	1206	-90	SYSTEM has +90
R6085-WH-CW	MISMATCH	C31(72)	72	137	65	MAP has +65
R1204-SC-WW	MISMATCH	D57(10), D65(62)	72	9	-63	SYSTEM has +63
R0001-RF	MISMATCH	A82(1280), B3(839), B70(1000)	3119	3058	-61	SYSTEM has +61
R1030-WH-TRI	MISMATCH	A54(199), Misc(50)	249	199	-50	SYSTEM has +50
R-SW3-WH-V1	MISMATCH	D13(1800), D50(2)	1802	1754	-48	SYSTEM has +48
R1152-SIL-CW	MISMATCH	A15(81), B16(124), D50(1), Misc(2)	208	177	-31	SYSTEM has +31
R3111-S	MISMATCH	C83(26)	26	1	-25	SYSTEM has +25
R107M-WW-60	MISMATCH	A41(384), B38(1007), B47(527)	1918	1894	-24	SYSTEM has +24
R-SLGP2-WH-V1	MISMATCH	A31(60)	60	80	20	MAP has +20
R2631-WH-3M	MISMATCH	E-FLOOR(288), E-FLOOR(504)	792	808	16	MAP has +16
R2320-DL-10	MISMATCH	D57(15), Misc(15)	30	15	-15	SYSTEM has +15
R2513-BK-WW	MISMATCH	D54(40)	40	25	-15	SYSTEM has +15
R-GPO1X-WH-V1	MISMATCH	C11(100)	100	86	-14	SYSTEM has +14
R1040-SC-TRI	MISMATCH	D73(32)	32	46	14	MAP has +14
R6085-WH-TRI	MISMATCH	A106(84), B81(47)	131	118	-13	SYSTEM has +13
R3243-020-CW	MISMATCH	C33(11), D50(1)	12	1	-11	SYSTEM has +11
R2519-BK-WW	MISMATCH	C99(13)	13	3	-10	SYSTEM has +10
R2601-WH-1M	MISMATCH	C10(49), F7(60)	109	119	10	MAP has +10
R1141-WH-TK	MISMATCH	B28(864)	864	855	-9	SYSTEM has +9
R1082-BK-WW	MISMATCH	D73(8), Misc(32)	40	32	-8	SYSTEM has +8
R3208-TRI	MISMATCH	A53(36), A67(27), B5(40), B10(40), B15(40), B20(36), B40(40)	259	267	8	MAP has +8
R2499-400-40W-BK-WW	MISMATCH	E-FLOOR(11)	11	4	-7	SYSTEM has +7
R-ROCASDF-80-WH-CW	MISMATCH	D69(2), Misc(6)	8	2	-6	SYSTEM has +6
R3540-CW	MISMATCH	D50(3), G1(16)	19	13	-6	SYSTEM has +6
R1151-WH-CW	MISMATCH	C22(95), F10(5)	100	95	-5	SYSTEM has +5
R1342-WH	MISMATCH	C46(108)	108	103	-5	SYSTEM has +5
R3540-EM-S-CW	MISMATCH	G1(10)	10	6	-4	SYSTEM has +4
R1151-BK-WW	MISMATCH	A43(95), F10(3)	98	95	-3	SYSTEM has +3
R1201-SC-WW	MISMATCH	D57(7)	7	4	-3	SYSTEM has +3
R2201-BK-CW	MISMATCH	A86(10), A99(200), B42(129)	339	336	-3	SYSTEM has +3
R1081-WH-WW	MISMATCH	C53(324)	324	322	-2	SYSTEM has +2
R1167	MISMATCH	D54(28), D65(2)	30	28	-2	SYSTEM has +2
R6001-EXT	MISMATCH	D53(5)	5	3	-2	SYSTEM has +2
R6085-BK-TRI-V1	MISMATCH	D65(2), D69(2)	4	2	-2	SYSTEM has +2
DEK-EVOII50-WH	MISMATCH	A60(17)	17	18	1	MAP has +1
DOM-20635	MISMATCH	D49(2), Misc(1)	3	2	-1	SYSTEM has +1
R-GPO2-15-WH-V1	MISMATCH	C11(219)	219	218	-1	SYSTEM has +1
R-ROCA-010181A05	MISMATCH	D69(7)	7	6	-1	SYSTEM has +1
R-SLGPO2-WH	MISMATCH	B8(2799), B71(2499), C72(1200)	6498	6499	1	MAP has +1
R1022	MISMATCH	G-Floor(300)	300	299	-1	SYSTEM has +1
R1024	MISMATCH	C-Floor(220)	220	219	-1	SYSTEM has +1
R1077-ADJ-9W	MISMATCH	D69(9)	9	8	-1	SYSTEM has +1
R1084-WH-WW-60	MISMATCH	B37(72), B48(864)	936	935	-1	SYSTEM has +1
R1091-10-WH-SIL-TRI	MISMATCH	C34(107)	107	106	-1	SYSTEM has +1
R1140-BK-PND	MISMATCH	B56(180), B62(287)	467	466	-1	SYSTEM has +1
R1140-WH-PND	MISMATCH	B21(108)	108	107	-1	SYSTEM has +1
R1147-BK-BK-60-SM	MISMATCH	A91(72)	72	71	-1	SYSTEM has +1
R1147-WH-WH-60-SM	MISMATCH	B17(240), C48(179)	419	418	-1	SYSTEM has +1
R1151-WH-WW	MISMATCH	B51(48)	48	47	-1	SYSTEM has +1
R1170-WH-WW	MISMATCH	A11(179), C26(60)	239	238	-1	SYSTEM has +1
R1312-WH	MISMATCH	B6(252)	252	251	-1	SYSTEM has +1
R2517-BK-CW	MISMATCH	C99(2), D65(1)	3	2	-1	SYSTEM has +1
R2582-WH-WW-60-DALI	MISMATCH	C1(59)	59	60	1	MAP has +1
R2598-BK	MISMATCH	A12(80)	80	81	1	MAP has +1
R3145	MISMATCH	D37(80)	80	79	-1	SYSTEM has +1
R3206-UGR19-25-DL	MISMATCH	A3(72), A8(72), A14(72), A18(72), A24(72), B2(72), B12(72), B52(72), C14(72), C18(72), D28(96), G-Floor(96)	912	911	-1	SYSTEM has +1
R3240-BK-LRG-60	MISMATCH	C25(24), D10(20), D44(25)	69	70	1	MAP has +1
R3250-240-BK-CW_R10503	MISMATCH	A95(19), B83(13), B92(16)	48	47	-1	SYSTEM has +1
R3250-600-BK-CW_R10503	MISMATCH	A61(1), B30(9)	10	9	-1	SYSTEM has +1
R3570-TRI	MISMATCH	A104(47), A107(48)	95	96	1	MAP has +1
R6002-SM-KIT	MISMATCH	C10(30)	30	29	-1	SYSTEM has +1
R6019-WW	MISMATCH	B34(450)	450	449	-1	SYSTEM has +1
R6022-WH	MISMATCH	D49(2)	2	1	-1	SYSTEM has +1
R6076-WH-TRI	MISMATCH	B61(18), B86(144)	162	161	-1	SYSTEM has +1
R6236-WH	MISMATCH	A31(6), D61(1)	7	6	-1	SYSTEM has +1
R6240-EM-S-BK-TRI	MISMATCH	D51(70)	70	69	-1	SYSTEM has +1
R6240-S-WH-TRI	MISMATCH	D24(60)	60	59	-1	SYSTEM has +1
R9998	MISMATCH	A10(67), A30(72), B29(72), D69(1)	212	211	-1	SYSTEM has +1
