5DC	Shelf	Pallet #	SKU	UNIT QTY
30312			R3262-SL-60	6
31300			R1146-WH-WH-60-SM	191
32640	C37	769	R-SLGP6-WH	399
33052			R-SLSW3-WH	999
76613	C38		R3900-BK-40W-WW-30-DALI	14
32924	C39	697	R3250-450-BK-CW_R10503	5
30044	C40	97	R2126-DIFFUSER-DEEP	80
31333	C41	293	R-SW5-WH-V1	310
31342			R-SW6-WH-V1	230
31359			R-GPO1-WH-V1	594
31422	C42	712	R6232-WH-TRI	90
0	C43	907		
19012			R0002-RF-V2	338
18755			R0001-rF-V2	32
31386	C44	876	R3560-TRI	89
30416	C45	A31	R6054-TT-TRI	130
16931	C46	24	R1342-A-WH	107
16719			R1342-WH	108
17233			R1343-WH	47
15813			R134M-10W-CW-40	95
16558			R1341-A-BK	47
29904	C47	987	R3540-TRI	96
31361	C48	828	R1147-WH-WH-60-SM	179
31577			R6093-BK-WW	95
17130	C49	198	R1161-WH	96
0	C50		battens and diffuser	
96634	C51	455	R3225-40-bk-cw	2
31078			R1140-WH-SA	287
80040			R1091-10-WH-WH-TRI	108
17130	C52	199	R1161-WH	96
0	C53	920		
18265			R1081-WH-WW	324
30099	C54		R3207-TRI-SM	36
0	C55		tubes/trash?	
29732	C56	664/646	R3250-300-BK-DL_R10503	2
36072			R3240-050-BK-PE	3
30644			R3250-180-BK-DL_R10503	3
29898			R3115	5
30364			R3116	4
31358			R3142	5
48770			SOLO III	329
31555	C57	807	R2132-WH-TRI	128
0	C58		spigots and lens	
30348	C59	974	R3230-040	16
31386	C60	875	R3560-TRI	90
29904	C61	985	R3540-TRI	96
0	C62		Warehouse Invoices	
31555	C63	802	R2132-WH-TRI	128
0	C64			
29833	C65	972	R1055-WH-TRI	960
30591	C66		R1073-BK	96
18317		938	R107M-15W-CW-60	191
32150			R107M-15W-XW-24	96
30660			R2215-WH	100
30616	C67	C67	R6335-500	60
30616	C68	C68	R6335-500	60
30007	C69	718	R1053-WH-TRI	960
31550	C70	883	R6234-BK-TRIM	99
31590			R6235-BK-TRIM	99
31052	C71		R6104-BK-WW	250
15925		975	R6123-BK-WW	100
15825			R6123-SS-WW	50
32481	C72	965	R-SLGP3-WH	800
32525			R-SLGP4-WH	1600
32840			R-SLGPO2-WH	1200
29904	C73	988	R3540-TRI	96
31201	C74	994	R3570-EM-S-TRI	48
30147	C75	906	R3207-UGR19-16-CW	74
29904	C76	986	R3540-TRI	96
30543	C77	C88	R2125-DIFFUSER-DEEP	130
0	C78		Office Invoices	
30529	C79	105	R2211-WH	40
30440			R2211-BK	40
30196			R2213-WH	20
30649			R2213-BK	20
30143			R2212-WH	77
30847			R2212-BK	200
30680	C80	933	R1076-BK	180
30402			R1073-WH	192
30079			R1077-WH	192
55242			R1077-BK	192
15998			R134M-10W-FRAME-BK	100
46196	C81	729	r1354-30-wh-ww	95
0	C82	C82	OFFICE FILES	
30460	C83	F43	R3111-S	26
55585	C84	c84	r3141	69
30616	C85	C66	R6335-500	60
0	C86	C86	LARGE BOXES	60
0	C87	C87	OFFICE FILES	
30655	C88	E21	R6015-BK-RGB	160
30775	C89	977	R3540-EM-S-TRI	96
41161	C90	952	R1060-WH-TRI	864
31288	C91	594	R6233-WH-TRIM	99
			R6232-WH-TRI	29
0	C92		LARGE BOXES	100
0	C93		LARGE BOXES	100
0	C94		TRASH	
31095	C95	997	R3570-EM-TRI	48
0	C96		TRASHH	
0	C97	C97	LARGE BOXES	100
0	C98	C91	LARGE BOXES	100
0	C99	106	OLD ITEMS	
0			R2517-WH-WW	1
0			R2517-BK-WW	3
34316			R2515-BK-WW	4
53972			R2517-BK-CW	2
0			R2515-BK-CW	1
53587			R2519-BK-WW	13
0			R2519-BK-CW	12
34572			R2515-WH-WW	13
0			R2515-BK-CW	12
30616	C100	C41	R6335-500	60
